shape,rows,cols,trial,ns_steps,theoretical_unscaled_rms,exact_unscaled_rms,exact_scaled_rms,observed_unscaled_rms,observed_scaled_rms,scaled_target_rms,exact_unscaled_rms_ratio,unscaled_rms_ratio,scaled_rms_error,singular_min,singular_mean,singular_max
16x16,16,16,0,5,0.25,0.2500000298023224,0.20000003278255463,0.22689299285411835,0.1815144121646881,0.2,1.0000001192092896,0.9075719714164734,-0.0184855878353119,0.674649178981781,0.8941752910614014,1.122409701347351
16x16,16,16,1,5,0.25,0.2499999701976776,0.19999997317790985,0.2409631460905075,0.19277051091194153,0.2,0.9999998807907104,0.96385258436203,-0.007229489088058483,0.7302705645561218,0.9515708684921265,1.1321585178375244
16x16,16,16,2,5,0.25,0.2499999701976776,0.19999997317790985,0.23102052509784698,0.18481643497943878,0.2,0.9999998807907104,0.9240821003913879,-0.01518356502056123,0.6752856969833374,0.9073051810264587,1.1270650625228882
16x16,16,16,3,5,0.25,0.25,0.20000000298023224,0.22363729774951935,0.17890983819961548,0.2,1.0,0.8945491909980774,-0.021090161800384533,0.6950899362564087,0.8820276856422424,1.1323564052581787
16x16,16,16,4,5,0.25,0.2500000298023224,0.20000003278255463,0.22771678864955902,0.18217343091964722,0.2,1.0000001192092896,0.9108671545982361,-0.017826569080352794,0.6757916212081909,0.8949428200721741,1.1383212804794312
16x16,16,16,5,5,0.25,0.2499999701976776,0.19999997317790985,0.2382601648569107,0.19060812890529633,0.2,0.9999998807907104,0.9530406594276428,-0.009391871094703685,0.6986629366874695,0.9366505146026611,1.203938364982605
16x16,16,16,6,5,0.25,0.25,0.20000000298023224,0.2297280728816986,0.1837824583053589,0.2,1.0,0.9189122915267944,-0.016217541694641124,0.5187368392944336,0.8962755799293518,1.1935588121414185
16x16,16,16,7,5,0.25,0.25,0.20000000298023224,0.23742122948169708,0.18993699550628662,0.2,1.0,0.9496849179267883,-0.01006300449371339,0.7180973887443542,0.9375008344650269,1.1314101219177246
16x64,16,64,0,5,0.125,0.125,0.20000001788139343,0.11178670078516006,0.17885872721672058,0.2,1.0,0.8942936062812805,-0.02114127278327943,0.6809914708137512,0.8816521167755127,1.1310851573944092
16x64,16,64,1,5,0.125,0.125,0.19999998807907104,0.11193454265594482,0.17909526824951172,0.2,1.0,0.8954763412475586,-0.020904731750488292,0.6865986585617065,0.8813379406929016,1.1274487972259521
16x64,16,64,2,5,0.125,0.1250000149011612,0.20000003278255463,0.11185328662395477,0.1789652705192566,0.2,1.0000001192092896,0.8948262929916382,-0.02103472948074342,0.6818172931671143,0.8806389570236206,1.130266785621643
16x64,16,64,3,5,0.125,0.125,0.20000000298023224,0.11306652426719666,0.18090645968914032,0.2,1.0,0.9045321941375732,-0.01909354031085969,0.6943365335464478,0.8931640982627869,1.1318310499191284
16x64,16,64,4,5,0.125,0.1249999925494194,0.19999998807907104,0.11627308279275894,0.18603694438934326,0.2,0.9999999403953552,0.9301846623420715,-0.01396305561065675,0.6844034790992737,0.9165552258491516,1.1317155361175537
16x64,16,64,5,5,0.125,0.125,0.20000001788139343,0.11376610398292542,0.1820257604122162,0.2,1.0,0.9101288318634033,-0.017974239587783825,0.6848373413085938,0.896127462387085,1.1426440477371216
16x64,16,64,6,5,0.125,0.1249999925494194,0.19999998807907104,0.10899027436971664,0.1743844449520111,0.2,0.9999999403953552,0.8719221949577332,-0.025615555047988903,0.6866368055343628,0.8603426814079285,1.1188701391220093
16x64,16,64,7,5,0.125,0.1250000149011612,0.20000004768371582,0.11404820531606674,0.18247713148593903,0.2,1.0000001192092896,0.9123856425285339,-0.017522868514060985,0.6823946833610535,0.897137463092804,1.128781795501709
64x16,64,16,0,5,0.125,0.1249999925494194,0.20000000298023224,0.1126088798046112,0.18017421662807465,0.2,0.9999999403953552,0.9008710384368896,-0.019825783371925365,0.6885051727294922,0.8865652084350586,1.1393786668777466
64x16,64,16,1,5,0.125,0.1249999850988388,0.19999997317790985,0.11417431384325027,0.18267890810966492,0.2,0.9999998807907104,0.9133945107460022,-0.017321091890335094,0.6822537183761597,0.8982299566268921,1.135977864265442
64x16,64,16,2,5,0.125,0.1249999850988388,0.19999997317790985,0.1119660884141922,0.17914573848247528,0.2,0.9999998807907104,0.8957287073135376,-0.02085426151752473,0.6833583116531372,0.8791798949241638,1.1341584920883179
